         896531 function calls (893820 primitive calls) in 628.787 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.000    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\parameters\formats.py:86(format)
       36    0.000    0.000    0.041    0.001 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\subprocess.py:1590(_wait)
       36    0.000    0.000    0.001    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:428(notify_all)
       72    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:318(_is_owned)
       18    0.000    0.000    0.001    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\parameters\engines.py:39(__init__)
      111    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       36    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       90    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       18    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\contextlib.py:303(helper)
       18    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\contextlib.py:108(__init__)
       18    0.000    0.000    0.000    0.000 {built-in method _winapi.GetStdHandle}
       36    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       43    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\re\_parser.py:997(parse_template)
       60    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
       18    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\subprocess.py:1433(_filter_handle_list)
       18    0.000    0.000    0.000    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\parameters\formatters.py:54(formatter)
       54    0.000    0.000    0.000    0.000 <frozen ntpath>:34(_get_bothseps)
       54    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\contextlib.py:479(_create_cb_wrapper)
       18    0.000    0.000    0.000    0.000 {built-in method _codecs.lookup}
      108    0.000    0.000    0.000    0.000 {built-in method _winapi.GetCurrentProcess}
        3    0.000    0.000    0.000    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\numpy\_core\numeric.py:290(full)
       90    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       18    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\contextlib.py:136(__enter__)
       36    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\subprocess.py:229(Detach)
       36    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:1134(is_alive)
       54    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       18    0.000    0.000    0.002    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\pathlib\_abc.py:167(suffix)
       18    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\contextlib.py:145(__exit__)
       18    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\contextlib.py:485(__init__)
       36    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:1018(_set_ident)
       18    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       36    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:1265(_make_invoke_excepthook)
       54    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       72    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:1145(daemon)
       36    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:315(_acquire_restore)
       36    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\subprocess.py:199(__init__)
       18    0.000    0.000    0.000    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\encoding.py:35(encoding)
       36    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       37    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       18    0.000    0.000    0.000    0.000 {built-in method _winapi.GetExitCodeProcess}
       18    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\subprocess.py:1102(__exit__)
       50    0.000    0.000    0.000    0.000 C:\Users\brike\Desktop\Algoritma\src\reference_avl_tree.py:4(__init__)
       54    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       18    0.000    0.000    0.000    0.000 C:\Users\brike\Desktop\Algoritma\venv\Lib\site-packages\graphviz\parameters\engines.py:23(verify_engine)
       91    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\pathlib\_local.py:289(drive)
       36    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\_weakrefset.py:39(_remove)
       72    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       54    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\pathlib\_local.py:227(__str__)
       36    0.000    0.000    0.041    0.001 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\subprocess.py:1269(wait)
       18    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\pathlib\_abc.py:194(stem)
      144    0.000    0.000    0.000    0.000 C:\Users\brike\AppData\Local\Programs\Python\Python313\Lib\threading.py:605(is_set)
       36    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
